additional_info,amenities,description,highlight_value,hotel_star_rating,image_count,internet,landmark,latitude,longitude,occupancy,property_type,room_price,room_types,service_value
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Pickup & Drop|Parking|AC,,,,1.0,,,31.380441700000002,75.3852158,2 Adults 2 Kids,House,1039per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? The Sonar Bangla is a sprawling oceanfront property overlooking the Bay of Bengal. There are 68 classy sea-facing rooms, each equipped with a telephone, colour television, and private bathroom. Families can enjoy a dip in the swimming pool or walk along the beach. There is a multi-cuisine restaurant available here. Ample parking is available at the premises. Corporates can use the conference room to conduct meetings. In addition to this, the hotel also provides a doctor-on-call, boat cruises, and fishing facilities.Why should you stay here? Families and couples can enjoy the gentle sounds of the ocean at night and the hotel luxury during the day. This hotel is ideal for weekend/short getaways.",,,7.0,,,21.667713199999998,87.7070999,2 Adults 2 Kids,Hotel,2809per night incl. tax,Deluxe Double Non AC,Not Verified
Acceptance Rate:60 percent|Response Time:> 24 hours,Newspaper|AC,"What should you know? Steps away from bay of Bengal, Hotel Ishani is ideal for the travellers with a limited budget. The property houses deluxe rooms and suites. The suites have attached balcony. All the rooms in Hotel Ishani are clean and fitted with cable television, telephone, attached bathroom with hot/cold water supply. Other facilities available at the hotel include laundry, power backup, and car parking facilities. The guests can enjoy sumptuous food at the on-site rooftop restaurant. Why should you stay here? Hotel Ishani is preferred by leisure travellers because of the adequate facilities available at competitive rates.",,,13.0,,,21.619401899999996,87.5019531,2 Adults 2 Kids,Hotel,950per night incl. tax,Deluxe Non AC Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,,,,11.0,,,21.6197777,87.50038149999999,2 Adults 2 Kids,Hotel,756per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Swimming Pool|Newspaper|Bar|Card Payment|Elevator|Parking,"What should you know? Royal Park Hotel is situated in the business district of the city. The hotel provides a diverse array of rooms customized for varied travellers. The rooms are well-furnished, spacious, and are equipped with facilities such as AC, a safe, a television, a telephone, internet access, and a private bathroom. A variety of dining options are available at the in-house restaurants namely Cafe-De-Royal, The Nine, and Four Square. The in-house bar offers an extensive choice of cocktails and exotic beverages. Basic amenities include room service, 24-hour front desk, security personnel, a doctor-on-call, conference and banquet halls, parking, and travel desk. For leisure activities people can spend time at the indoor pool, spa, or gymnasium.Why should you stay here? With contemporary lodging and modern amenities, Royal Park Hotel offers a luxurious retreat for both business and leisure travellers.",,,8.0,,,16.9531879,82.23606109999999,1 Adult 2 Kids,Hotel,3986per night incl. tax,Business Class Room Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper,A home away from home,,,7.0,,,22.8327103,86.1674271,2 Adults 2 Kids,Homestay,1134per night incl. tax,AC Room with Non Attached Bathro,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper,What should you know?Why should you stay here?,,,33.0,,,26.2627697,72.9586945,2 Adults 2 Kids,Hotel,2237per night incl. tax,Deluxe Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,AC,"What should you know? The hotel is situated near Jewel Chowk below Gummat at Sant Market in the city of Jammu. It offers 14 luxurious guestrooms with modern facilities like television, satellite TV connection, 24-hour room service, and round-the-clock running hot/cold water. It boasts of a food court and an inhouse multi-cuisine restaurant that serves delicious meals to it patrons. Other amenities available here include cab arrangement, doctor-on-call, separate hall for parties, and travel and tour services.Why should you stay here? Location is the biggest USP for this facility. The hotel is located within walking distance from taxi stand, main shopping area, bus stand, and the famous Raghunath Temple and Mahamaya Temple.",,,0.0,,,32.7386017,74.865303,2 Adults 2 Kids,Hotel,889per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Elevator|AC,"What should you know? Renuka Lodge is a budget accommodation option for vacationers visiting Kakinada. It is a centrally air-conditioned lodge with 19 well-kept rooms. In-room amenities offered by the lodge include cable/satellite TV, and telephone. Additionally, the location of the lodge provides easy access to many banks, ATM, shopping malls, and hospitals. The lodge is 60.4 km from Rajahmundry Airport, 2.7 km from Kakinada Town Railway Station, and 2.9 km from Kakinada RTC Bus Complex.Why should you stay here? Renuka Lodge is located closely to the Ferry Terminal of Kakinada where guests can enjoy a relaxed evening travelling in one of the ferry boats to and from this terminal to other places around the city.",,,9.0,,,16.950693100000002,82.2327499,1 Adult 1 Kid,Lodge,473per night incl. tax,Single Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Card Payment|Parking|AC,"What should you know? Hotel Jhansi is located along Shivpuri road in Jhansi, Uttar Pradesh. The hotel offers 4 variants of rooms to its patrons. The amenities provided here include doctor-on-call, room service, and 3 in-house restaurants serving multi-cuisine vegetarian and non-vegetarian food. It is 3 km away from Jhansi Junction railway station and 6 km away from Jhansi airport. It is also located in close proximity to popular tourist attractions such as Ganesh Mandir (3 km) and St. Judes Shrine (2 km).Why should you stay here? Hotel Samrat is located in a prime area that makes important tourist locations easily accessible to its patrons.",,,56.0,,,25.450780899999998,78.554039,0 Adult 2 Kids,Hotel,865per night incl. tax,Day Use Room (9 am - 9pm),Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Veg Only|Parking|AC,"Here at Yashoda Homes we have 2 rooms fully furnished to let out for our guests. The rooms have double bed, AC, TV, attached bathroom and wardrobes. Rooms are spacious, clean and furnished and equipped with basic amenities. Washrooms are hygienic with all time water supply. There is a separate living room and dining space well furnished, appointed and designed where guests can have their meals and relax in their leisure time. Guests will be welcomed with tea/coffee/juice as preferred. Khichadiya Park, Swaminarayan Temple and Lakota Lake are some of the nice spots worth visiting. Breakfast, lunch and dinner will be served to all guests on request with extra charges. We serve vegetarian North Indian food. Madras Café, Swati Hotel and Kalpana are some of the restaurants nearby where you can dine as well if you wish to. Public transport is available all the time. We will provide pick up and drop as well. So welcome folks to yet another home.",,,28.0,,,22.4730053,70.09075159999999,2 Adults 1 Kid,Hotel,1417per night incl. tax,AC Standard Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? Set in the heart of the city, within the premises of a 250-year old building, Shivam Paying Guest House exudes an authentic Jodhpur atmosphere. Atop this historic property, sits the rooftop restaurant which offers its tourists a panoramic view of the old blue city and the Mehrangarh Fort. The location is truly central as it just 6.6 km away from the Jodhpur Airport and 1.3 km from the Nagori Gate Circle Bus Stop.Why should you stay here? The family that runs this place are the original founders of the Ossian camel safari, which makes this guest house all the more appealing.",,,0.0,,,26.296228399999997,73.02273559999999,1 Adult 2 Kids,House,445per night incl. tax,Aircooler Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Card Payment,"What should you know? Shahi Guest House is a quirky Haveli that is rich in history. The building and the rooms are constructed keeping in mind the Rajasthani culture. They have two suites, namely the Shahi and Heritage suites. It offers facilities such as AC, travel assistance, spa services, Wi-Fi connectivity, and 24-hour room service.Why should you stay here? Shahi Guest House has been referred by Lonely Planet, and gives a panoramic view of the entire Jodhpur city.",,,14.0,,,26.2930527,73.01600649999999,2 Adults 2 Kids,House,2667per night incl. tax,Heritage Suite,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? The establishment is situated on Gurudwara Sunder Singh Road. There are 18 rooms in this hotel that come with amenities like room service, air-conditioning, attached bathroom, hot and cold water supply, wardrobe, and a cable television. It also provides facilities like front desk assistance, free parking, luggage storage facility, medical service, power backup, parking facility, newspaper, medical services, and laundry service. The property also hosts dining options for guests.Why should you stay here? This is a budget hotel with good accommodation facilities that is apt for family vacationers, leisure travellers, backpackers, and budget-conscious guests.",,,54.0,,,32.7384224,74.8653259,2 Adults 2 Kids,Hotel,834per night incl. tax,Double A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Free Breakfast|AC,"Rathore villas is a family home where family resides on the ground floor and the first story has the rooms ,a complete authentic luxury homestay.pack your bags and see unseen parts of jodhpur city and experience a rajput hospitality.",,,14.0,,,26.311201099999998,73.050209,2 Adults 2 Kids,Villa,1179per night incl. tax,Queen AC Deluxe Double,Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Parking|AC,"What should you know? The industrial city of Jalpaiguri situated on the banks of river Teesta, is home to the Hotel Safari. This charming hotel with its contemporary decor, comprises of 17 rooms categorized into single bed non-AC, standard double bed non-AC, double bed AC, three bed air-conditioned, four bed air-conditioned and VIP rooms. Amenities include Wi-Fi internet, laundry service, travel desk, cable television, in-house restaurant, tours and trips, car rentals and parking, and doctor on call. Excursion tours to the famous Dooars Tea Garden are also arranged by the hotel. This place is 60 km from Bagdogra Airport, 2 km from Jalpaiguri Railway Station, and approximately 3 km away from Kadamtala Bus stand.Why should you stay here? Hotel Safari provides comfortable and spacious accommodation along with delicious Bengali cuisine at budget rates.",,,56.0,,,26.715076399999997,89.14295200000001,1 Adult 1 Kid,Hotel,307per night incl. tax,Single Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Card Payment|Parking,"What should you know? The hotel comes under the category of budget stay and is situated on Makrana Mohalla, Jodhpur. It is occupied with 9 well-furnished rooms ensuring modern amenities. The hotel provides various facilities to its guests, which include room service, complimentary breakfast, restaurant, front desk, and a travel counter .The property stays close to Umaid Bhawan Palace, Mehrangarh Fort, Jaswant Thada, Bal Samand Lake, Kaylana Lake, Ghanta Ghar, and Mandore Gardens. It is close to transit points namely Ratanada Bus Stand (1.4 km), Jodhpur Railway Station (1.7 km), and Jodhpur Airport (5.8 km).Why should you stay here? The hotel is centrally located and provides convenient access to various tourist interest points and nodes of commute while comforting guests with its state of the art facilities and services.",,,18.0,,,26.296394300000003,73.0224075,2 Adults 2 Kids,House,756per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Elevator|Parking|AC,"What should you know? Located in the vibrant area of Upper Gumat Bazar, Hotel Ajay is close to various attractions like Amar Palace Museum and Kali Mata Temple. This hotel offers standard rooms, each with a private balcony and basic amenities. It is around 8 km from Srinagar Airport and Jammu Tawi Railway Station is around 5 km away. It has amenities like pickup and drop service. Apart from this there is a travel desk, internet, and 24x7 room service.Why should you stay here? Hotel Ajay is an affordable option in the heart of Jammu.",,,21.0,,,32.7277031,74.8612595,2 Adults 2 Kids,Hotel,1112per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper,"What should you know? Located at an elevation of 4101 ft above sea level, The Silver Oaks beauty is rivalled only by its heritage. Built in 1930, it used to be the home of renowned architect Frederick Deshraj and later, a jute magnate. It was renovated in the 80s and now hosts some of the most spectacular views you may get to see as you travel the northern India. This luxury boutique has artfully appointed rooms, perfect for a getaway from the city.Why should you stay here? The Elgin Silver Oaks has stunning views of the Kanchenjunga, beautifully appointed rooms, electronic safe, and a 26-inch flat screen TV in each room.",,,6.0,,,27.0592403,88.46302800000001,1 Adult 2 Kids,Hotel,6864per night incl. tax,Single Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? Hotel Swarna Palace is situated on NHCL Road, Sarpavaram Junction. Here, guests can avail facilities like 24-hour front desk, travel desk, internet access, STD/ISD telephone facility, shuttle service, and parking facility. This hotel offers accommodation in rooms that come with the in-room privileges like cable television, attached bathroom, laundry service, and doctor-on-call. Guests staying at this property can relish variety of south Indian delicacies in the dining area, or may visit the nearby restaurants for meals.Why should you stay here? This property is convenient for visitors as it is amidst market area. Guests can relax in this budget property and can also explore the nearby places.",,,0.0,,,16.995630300000002,82.2410355,1 Adult 1 Kid,Hotel,400per night incl. tax,Single Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:> 24 hours,Newspaper,"What should you know? It is an economical accommodation situated at B C Road, Jammu. It is occupied with 24 well-carved out rooms, ensuring peace, comfort, and courteous hospitality. Apart from modern room amenities, this hotel also offers other on-site facilities like an in-house restaurant and front desk, which make the stay convenient and memorable. While staying here, guests can explore some famous tourist places like Bahu Fort, Raghunath Mandir, Shiv Khori, Baag-e-Bahu, Mansar Lake, Vaishno Devi Mandir, and Amar Mahal Museum. The hotel can be accessed from General Bus Stand Jammu, Jammu Tawi Railway Station, and Jammu Airport.Why should you stay here? Hotel comes upto the expectation of its guests by giving them a value for their money in terms of location, services, rooms, and hospitality.",,,33.0,,,32.732486699999995,74.8598251,2 Adults 2 Kids,Hotel,473per night incl. tax,Normal Double Room,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper,,,,22.0,,,32.731178299999996,74.8636856,2 Adults 2 Kids,Hotel,500per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,AC,"What should you know? This hotel has 16 rooms in total. Some of the amenities available for guests at this place are internet access, doctor-on-call, laundry service, air-conditioned rooms, cable/satellite TV, and tea/coffee maker. 24-hour concierge/help desk and valet parking are the other facilities available at this place.Why should you stay here? This property is suitable for solo, backpack travellers, and bikers.",,,29.0,,,32.7312279,74.8649368,2 Adults 2 Kids,Hotel,500per night incl. tax,Double Non-A/C Rooms,Not Verified
Response Time:22 minutes|Acceptance Rate:57 percent,Newspaper|AC,"What should you know? Hotel Seagull is a three-star hotel located close to the Old Digha Bus Stand. Hotel Seagull offers luxury accommodation through AC rooms and cottages. The amenities offered by the hotel includes room service, cable TV, telephone, car rental, parking space, and doctor-on-call. The hotel also has a rooftop dining area where you can have a plethora of mouthwatering dishes. Activities like water-skiing, snorkeling, and para-sailing can be experienced at the Digha Beach located nearby.Why should you stay here? There are also several places of interest nearby like Tajpur, Kapalkundala Temple, Shankarpur, and Chandaneswar Temple located close to Hotel Seagull.",,,12.0,,,21.6253281,87.5297928,2 Adults 2 Kids,Hotel,1569per night incl. tax,Double AC (Non Sea Facing),Not Verified
Response Time:< 6 hours|Acceptance Rate:0 percent,Newspaper|AC,"What should you know? Located less than 300 metres away from the Old Digha Bus Stand and the Old Digha Beach, Hotel Aditya International is easily accessible. This two-star facility has 40 rooms with all necessary amenities like AC, TV, refrigerator, and telephone. Some of the rooms available here are sea-facing. The hotel has a multi-cuisine restaurant that serves traditional Bengali, Indian, Chinese, and Tandoori dishes. Hotel Aditya International also has conference facilities available for corporate visits. The hotel also provides car parking and currency-exchange facilities. Tajpur, Mohana, Kapalkundala Temple, and Shankarpur are popular tourist sites located nearby.Why should you stay here? Guests can avail travel assistance from the hotel for sightseeing.",,,5.0,,,21.6234016,87.5239563,2 Adults 2 Kids,Hotel,2323per night incl. tax,Royal Deluxe Rooms AC Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? Hotel Nandha has twenty-five rooms with basic amenities such as hot and cold water and telephone. The hotel serves veg as well as non-veg South Indian and North Indian food. The hotel houses a bar and lounge area as well. Room service and doctor-on-call facility are also available. The hotel provides car parking facilities and has a travel desk along with a conference hall which is also housed in the hotel.Why should you stay here? With its vicinity to the bus stand, Hotel Nandha provides a clean and comfortable stay option for travellers.",,,6.0,,,10.929087599999999,79.83839420000001,1 Adult 1 Kid,Hotel,723per night incl. tax,Single A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? This small hotel is located near the bustling centre of the city. The 11 spacious rooms are comfortable and well appointed with essential amenities, such as air-conditioning, cable television, and an attached bathroom. Business services include wired internet access and Wi-Fi facility. The multi-cuisine restaurant on site provides an array of vegetarian meals. A front desk, free parking, laundry and dry cleaning facility, room service, and medical assistance are a few common necessities ensured for the convenience of guests.Why should you stay here? Centrally air-conditioned, this hotel provides modest and comfortable accommodation for guests that comes with a number of essential amenities and services.",,,,,,26.302211800000002,72.8633652,1 Adult 1 Kid,Hotel,1156per night incl. tax,Single A/C Rooms,Not Verified
Response Time:25 minutes|Acceptance Rate:50 percent,Newspaper|Card Payment|Parking|AC,,,,10.0,,,26.8359718,88.80214690000001,2 Adults 2 Kids,Resort,1250per night incl. tax,Non A/c Deluxe Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Parking,"What should you know? A hotel that offers a beautiful view of the Neel Pahari Hill and has all the basic amenities in its rooms, Neel Pahari Resort is quite close to the main road and yet away enough to give you a peaceful stay. All rooms in the hotel are kept neat and clean and come with an attached bath facility. The hotel offers parking facility, in-house dining, transport service, and campfire facility. Bagdogra Airport is 99 km away from the hotel whereas Bagrakot Railway Station is 77 km away.Why should you stay here? Neel Pahari Resort gives you the scope to enjoy the beautiful Neel Pahari Hill while remaining in a warm room.",,,2.0,,,27.1326027,88.5937958,2 Adults 2 Kids,Resort,1067per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Newspaper|Card Payment|Parking|AC,"What should you know? Located just 200 metres from Koderma Railway Station, Hotel Surya Banquet is a deluxe property boasting of luxury and comfort. The hotel comprises of 17 well-appointed rooms each of which is equipped with all basic amenities along with Wi-Fi connectivity, and LCD television. The hotel also houses a restaurant, meeting rooms, and business center. Other services provided by the hotel include doctor-on-call, laundry, car rental, travel assistance, and safety deposit lockers.Why should you stay here? It is a well-appointed budget hotel with sufficient amenities.",,,5.0,,,24.4333515,85.5232391,2 Adults 2 Kids,Hotel,976per night incl. tax,Semi Deluxe Non A/c Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,,,,2.0,,,21.622619600000004,87.51377109999999,2 Adults 2 Kids,Hotel,1355per night incl. tax,Double A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|AC,"What should you know? Hotel Kiran Vilas Heritage offers ten deluxe rooms that are a seamless blend of traditions of Jodhpur and contemporary modern style, making the guests get a feel of home away from home. The hotel provides an assortment of services, which include doctor-on-call, lush gardens, air conditioner, roof top view restaurant that allows view of Mehrangarh Fort, hi-speed internet, laundry services, and 24 hours room service. The nearby areas worth exploring include Mehrangarh Fort, Mandore, Umaid Bhawan Palace Museum, and Ghanta Ghar.Why should you stay here? Kiran Vilas Heritage is a traditional and homely, budget friendly hotel that allows its guests to get an authentic taste of Jodhpur in all its beautiful glory.",,,11.0,,,26.3018913,73.04482270000001,2 Adults 2 Kids,Hotel,2889per night incl. tax,Deluxe AC Double,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,WiFi|Veg Only|AC,"What should you know? Hotel Nirvana Home is a heritage hotel that has rich and royal architecture. It is one of the classic hotels of Jodhpur, offering a blend of richness and style. All the rooms are designed in a manner to meet the needs of the guests. The in-room amenities include room service, 24-hour hot water supply, TV, and internet facility. The hotel provides complimentary services like local sightseeing, car rentals, and laundry. The restaurant provides good food, which has homely touch, while the banquet hall is available for hosting functions.Why should you stay here? Located in an accessible part of Jodhpur, this hotel offers a range of useful services.",,,39.0,,,26.2942429,73.0227051,2 Adults 2 Kids,Hotel,1417per night incl. tax,Standard AC Single,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Elevator|Parking|AC,"What should you know? Situated conveniently at a distance of 200m from bus stand and about 2 km from the railway station, Hotel French Residency offers a comfortable stay for the travellers. Rooms are provided with multichannel television, intercom facility, and attached bathroom with running hot and cold water. The hotel provides 24x7 room service, lift service, doctor-on-call, car parking facility, and drivers restrooms. Its travel desk provides car rental and arranges for Navagraha tour packages. In-house restaurant serves veg and non-veg dishes and a fully-equipped conference hall facilitates conferencing and banqueting. Famous Karaikal Ammaiyar Temple is about 2 km and Sani Temple Thirunallar is about 8 km from the hotel.Why should you stay here? Located amidst the famous temples of Karaikal, the hotel accentuates a religious feel in its guests. It is also very near to the Karaikal Beach.",,,5.0,,,10.9230757,79.8325729,2 Adults 2 Kids,Hotel,778per night incl. tax,Double Non-A/C Rooms,Not Verified
Acceptance Rate:100 percent|Response Time:< 6 hours,Newspaper|AC,"What should you know? A comfortable accommodation, offering a warm hospitable environment and Rajput charm to the guests. The place ensures a peaceful and harmonious ambience for all the travellers. It is in the proximity to Mehrangarh, Nehru Park, and Mahamandir Temple, making it a place of convenience for all the travellers visiting the place. It also offers 24-hour room services, front desk, travel desk, and doctor-on-call.Why should you stay here? Located in a city of Royalties, this is a place to be for a perfect vacation.",,,,,,26.2690792,73.0398178,2 Adults 2 Kids,Hotel,3328per night incl. tax,Deluxe Standard AC Double,Not Verified
